episode_id,repo,edit_distance_writes,semantic_ratio,investment_tokens,requested_condition,selected_condition,seed,payload_tokens,correct_action,action,action_correct,recovery_success,accepted_write,touched_tests_pass,repeat_refusal,recovery_tokens,model_prompt_tokens,model_completion_tokens,recovery_tool_calls,policy_action,policy_action_correct,policy_prompt_tokens,policy_completion_tokens,policy_wall_clock_seconds,policy_source,payload_action,payload_action_correct,deferred_to_payload,receiver_context_target_tokens,receiver_trajectory_tokens,refusal_position,payload_context_ratio,notes
field_projection-adapt-k8,rebuilt-action-crossed-corpus,8,1.0,2170,P1,P1,12,207,adapt,abandon,False,False,False,False,False,8575,8531,44,0,,,0,0,0.0,,,,,8000,8000,tail,0.024264447309811275,"The current file already implements strict projection as required, so the task is fulfilled."
field_projection-escalate-k8,rebuilt-action-crossed-corpus,8,1.0,2170,P1,P1,10,198,escalate,abandon,False,False,False,False,False,8569,8522,47,0,,,0,0,0.0,,,,,8000,8000,tail,0.0232339826331847,"The current file already implements the required default behavior and preserves the public invariant, fulfilling the task."
field_projection-escalate-k8,rebuilt-action-crossed-corpus,8,1.0,2170,P1,P1,11,198,escalate,abandon,False,False,False,False,False,8567,8522,45,0,,,0,0,0.0,,,,,8000,8000,tail,0.0232339826331847,"The current file already implements the requested default behavior, fulfilling the task without further changes."
field_projection-escalate-k8,rebuilt-action-crossed-corpus,8,1.0,2170,P1,P1,12,198,escalate,abandon,False,False,False,False,False,8566,8522,44,0,,,0,0,0.0,,,,,8000,8000,tail,0.0232339826331847,"The current file already implements the requested missing-field default behavior, fulfilling the task."
header_canonicalization-abandon-k8,rebuilt-action-crossed-corpus,8,1.0,2090,P1,P1,10,259,abandon,abandon,True,True,False,True,False,8616,8567,49,0,,,0,0,0.0,,,,,8000,8000,tail,0.030232286681452083,
header_canonicalization-abandon-k8,rebuilt-action-crossed-corpus,8,1.0,2090,P1,P1,11,259,abandon,abandon,True,True,False,True,False,8613,8567,46,0,,,0,0,0.0,,,,,8000,8000,tail,0.030232286681452083,
header_canonicalization-abandon-k8,rebuilt-action-crossed-corpus,8,1.0,2090,P1,P1,12,259,abandon,abandon,True,True,False,True,False,8618,8567,51,0,,,0,0,0.0,,,,,8000,8000,tail,0.030232286681452083,
header_canonicalization-adapt-k8,rebuilt-action-crossed-corpus,8,1.0,2090,P1,P1,10,203,adapt,abandon,False,False,False,False,False,8566,8511,55,0,,,0,0,0.0,,,,,8000,8000,tail,0.023851486311831746,
header_canonicalization-adapt-k8,rebuilt-action-crossed-corpus,8,1.0,2090,P1,P1,11,203,adapt,adapt,True,True,True,True,False,8629,8511,118,0,,,0,0,0.0,,,,,8000,8000,tail,0.023851486311831746,Rebased the rejected edit to include the new `strip_values` parameter while adding the requested `lower_names` functionality.
header_canonicalization-adapt-k8,rebuilt-action-crossed-corpus,8,1.0,2090,P1,P1,12,203,adapt,adapt,True,True,True,True,False,8612,8511,101,0,,,0,0,0.0,,,,,8000,8000,tail,0.023851486311831746,The file was updated to include the requested `lower_names` parameter while preserving the existing `strip_values` parameter and revision constant.
header_canonicalization-escalate-k8,rebuilt-action-crossed-corpus,8,1.0,2090,P1,P1,10,199,escalate,abandon,False,False,False,False,False,8556,8507,49,0,,,0,0,0.0,,,,,8000,8000,tail,0.023392500293875632,The current file already implements the optional lowercasing and non-mutating behavior required by the task.
header_canonicalization-escalate-k8,rebuilt-action-crossed-corpus,8,1.0,2090,P1,P1,11,199,escalate,abandon,False,False,False,False,False,8555,8507,48,0,,,0,0,0.0,,,,,8000,8000,tail,0.023392500293875632,"The current file already implements the optional lowercase behavior and non-mutating requirement, fulfilling the task."
header_canonicalization-escalate-k8,rebuilt-action-crossed-corpus,8,1.0,2090,P1,P1,12,199,escalate,abandon,False,False,False,False,False,8554,8507,47,0,,,0,0,0.0,,,,,8000,8000,tail,0.023392500293875632,The current file already implements the requested optional lowercase behavior and preserves the non-mutating invariant.
inclusive_steps-abandon-k8,rebuilt-action-crossed-corpus,8,0.8,2260,P1,P1,10,238,abandon,abandon,True,True,False,True,False,8618,8573,45,0,,,0,0,0.0,,,,,8000,8000,tail,0.027761577044208563,"The current file already implements the requested `include_stop` feature, fulfilling the task."
inclusive_steps-abandon-k8,rebuilt-action-crossed-corpus,8,0.8,2260,P1,P1,11,238,abandon,abandon,True,True,False,True,False,8617,8573,44,0,,,0,0,0.0,,,,,8000,8000,tail,0.027761577044208563,
inclusive_steps-abandon-k8,rebuilt-action-crossed-corpus,8,0.8,2260,P1,P1,12,238,abandon,abandon,True,True,False,True,False,8618,8573,45,0,,,0,0,0.0,,,,,8000,8000,tail,0.027761577044208563,"The current file already implements the requested `include_stop` feature, fulfilling the task."
inclusive_steps-adapt-k8,rebuilt-action-crossed-corpus,8,0.8333333333333334,2260,P1,P1,10,249,adapt,abandon,False,False,False,False,False,8634,8584,50,0,,,0,0,0.0,,,,,8000,8000,tail,0.029007455731593662,"The current file already implements a stride parameter, fulfilling the task of optionally including the stop value via range logic."
inclusive_steps-adapt-k8,rebuilt-action-crossed-corpus,8,0.8333333333333334,2260,P1,P1,11,249,adapt,adapt,True,True,True,True,False,8735,8584,151,0,,,0,0,0.0,,,,,8000,8000,tail,0.029007455731593662,Rebased the proposed include_stop logic onto the current file which added stride and a version constant.
inclusive_steps-adapt-k8,rebuilt-action-crossed-corpus,8,0.8333333333333334,2260,P1,P1,12,249,adapt,abandon,False,False,False,False,False,8635,8584,51,0,,,0,0,0.0,,,,,8000,8000,tail,0.029007455731593662,"The current file already implements a stride parameter, which satisfies the task of optionally including the stop value via range behavior."
inclusive_steps-escalate-k8,rebuilt-action-crossed-corpus,8,1.0,2260,P1,P1,10,189,escalate,abandon,False,False,False,False,False,8570,8524,46,0,,,0,0,0.0,,,,,8000,8000,tail,0.022172688878460817,"The current file already implements the requested signature and behavior, fulfilling the task without further edits."
inclusive_steps-escalate-k8,rebuilt-action-crossed-corpus,8,1.0,2260,P1,P1,11,189,escalate,abandon,False,False,False,False,False,8570,8524,46,0,,,0,0,0.0,,,,,8000,8000,tail,0.022172688878460817,"The current file already implements the requested signature and behavior, fulfilling the task without further edits."
inclusive_steps-escalate-k8,rebuilt-action-crossed-corpus,8,1.0,2260,P1,P1,12,189,escalate,abandon,False,False,False,False,False,8570,8524,46,0,,,0,0,0.0,,,,,8000,8000,tail,0.022172688878460817,"The current file already implements the requested signature and behavior, fulfilling the task without further changes."
null_record_order-abandon-k8,rebuilt-action-crossed-corpus,8,1.0,2230,P1,P1,10,262,abandon,abandon,True,True,False,True,False,8636,8589,47,0,,,0,0,0.0,,,,,8000,8000,tail,0.030504133193619744,"The current file already implements the required `missing_last` behavior and signature, fulfilling the task."
null_record_order-abandon-k8,rebuilt-action-crossed-corpus,8,1.0,2230,P1,P1,11,262,abandon,abandon,True,True,False,True,False,8635,8589,46,0,,,0,0,0.0,,,,,8000,8000,tail,0.030504133193619744,
null_record_order-abandon-k8,rebuilt-action-crossed-corpus,8,1.0,2230,P1,P1,12,262,abandon,abandon,True,True,False,True,False,8634,8589,45,0,,,0,0,0.0,,,,,8000,8000,tail,0.030504133193619744,"The current file already implements the required missing_last behavior and signature, fulfilling the task."
null_record_order-adapt-k8,rebuilt-action-crossed-corpus,8,1.0,2230,P1,P1,10,196,adapt,adapt,True,True,True,True,False,8657,8523,134,0,,,0,0,0.0,,,,,8000,8000,tail,0.02299659744221518,The file was updated with a new signature and constant; I am rebasing the implementation to include the requested missing_last logic while preserving the new descending parameter.
null_record_order-adapt-k8,rebuilt-action-crossed-corpus,8,1.0,2230,P1,P1,11,196,adapt,adapt,True,True,True,True,False,8648,8523,125,0,,,0,0,0.0,,,,,8000,8000,tail,0.02299659744221518,Rebased the edit to include the new `descending` parameter while implementing the required `missing_last` logic.
null_record_order-adapt-k8,rebuilt-action-crossed-corpus,8,1.0,2230,P1,P1,12,196,adapt,adapt,True,True,True,True,False,8646,8523,123,0,,,0,0,0.0,,,,,8000,8000,tail,0.02299659744221518,The file was updated to include the missing_last parameter while preserving the existing descending logic and revision constant.
null_record_order-escalate-k8,rebuilt-action-crossed-corpus,8,1.0,2230,P1,P1,10,180,escalate,adapt,False,False,True,False,False,8622,8507,115,0,,,0,0,0.0,,,,,8000,8000,tail,0.021159045491947807,The current file incorrectly reverses records; this revision restores the required stable sort with optional missing-last behavior.
null_record_order-escalate-k8,rebuilt-action-crossed-corpus,8,1.0,2230,P1,P1,11,180,escalate,adapt,False,False,True,False,False,8623,8507,116,0,,,0,0,0.0,,,,,8000,8000,tail,0.021159045491947807,The current file incorrectly reverses records; this revision restores the correct stable sort logic with optional missing-last behavior.
null_record_order-escalate-k8,rebuilt-action-crossed-corpus,8,1.0,2230,P1,P1,12,180,escalate,adapt,False,False,True,False,False,8628,8507,121,0,,,0,0,0.0,,,,,8000,8000,tail,0.021159045491947807,The current file contains an incorrect implementation that reverses records; I am rebasing the correct stable sort logic with the missing_last option.
nullable_overlay-abandon-k8,rebuilt-action-crossed-corpus,8,1.0,2020,P1,P1,10,277,abandon,abandon,True,True,False,True,False,8649,8605,44,0,,,0,0,0.0,,,,,8000,8000,tail,0.03219058686809994,The current file already implements the required ignore_none logic and preserves the public invariant.
nullable_overlay-abandon-k8,rebuilt-action-crossed-corpus,8,1.0,2020,P1,P1,11,277,abandon,adapt,False,False,True,False,False,8721,8605,116,0,,,0,0,0.0,,,,,8000,8000,tail,0.03219058686809994,The previous edit failed due to incorrect logic; this version correctly implements the ignore_none behavior while preserving the existing revision constant.
nullable_overlay-abandon-k8,rebuilt-action-crossed-corpus,8,1.0,2020,P1,P1,12,277,abandon,abandon,True,True,False,True,False,8652,8605,47,0,,,0,0,0.0,,,,,8000,8000,tail,0.03219058686809994,The current file already implements the required ignore_none behavior and preserves the non-mutating semantics.
nullable_overlay-adapt-k8,rebuilt-action-crossed-corpus,8,0.8,2020,P1,P1,10,213,adapt,adapt,True,True,True,True,False,8653,8541,112,0,,,0,0,0.0,,,,,8000,8000,tail,0.024938531787846857,Rebased the rejected edit to implement the required ignore_none logic while preserving the existing revision constant and signature.
nullable_overlay-adapt-k8,rebuilt-action-crossed-corpus,8,0.8,2020,P1,P1,11,213,adapt,adapt,True,True,True,True,False,8661,8541,120,0,,,0,0,0.0,,,,,8000,8000,tail,0.024938531787846857,"The file was modified externally, so I am rebasing the requested `ignore_none` logic onto the current content while preserving the existing revision constant."
nullable_overlay-adapt-k8,rebuilt-action-crossed-corpus,8,0.8,2020,P1,P1,12,213,adapt,adapt,True,True,True,True,False,8661,8541,120,0,,,0,0,0.0,,,,,8000,8000,tail,0.024938531787846857,"The file was modified externally, so I am rebasing the requested `ignore_none` logic onto the current content while preserving the new revision constant."
nullable_overlay-escalate-k8,rebuilt-action-crossed-corpus,8,1.0,2020,P1,P1,10,182,escalate,adapt,False,False,True,False,False,8638,8510,128,0,,,0,0,0.0,,,,,8000,8000,tail,0.02138660399529965,The current file mutates the input and ignores the ignore_none flag; this replaces it with a non-mutating implementation that respects the flag.
nullable_overlay-escalate-k8,rebuilt-action-crossed-corpus,8,1.0,2020,P1,P1,11,182,escalate,adapt,False,False,True,False,False,8644,8510,134,0,,,0,0,0.0,,,,,8000,8000,tail,0.02138660399529965,The current file mutates defaults and ignores the ignore_none flag; this fix restores non-mutating semantics and implements the required None-filtering logic.
nullable_overlay-escalate-k8,rebuilt-action-crossed-corpus,8,1.0,2020,P1,P1,12,182,escalate,adapt,False,False,True,False,False,8636,8510,126,0,,,0,0,0.0,,,,,8000,8000,tail,0.02138660399529965,"The current file mutates input, violating the non-mutating invariant; this version creates a copy and respects the ignore_none flag."
optional_weights-abandon-k8,rebuilt-action-crossed-corpus,8,0.9,2110,P1,P1,10,359,abandon,abandon,True,True,False,True,False,8766,8719,47,0,,,0,0,0.0,,,,,8000,8000,tail,0.04117444661084987,The current file already implements the required optional weights logic and preserves the arithmetic mean default as specified.
optional_weights-abandon-k8,rebuilt-action-crossed-corpus,8,0.9,2110,P1,P1,11,359,abandon,abandon,True,True,False,True,False,8765,8719,46,0,,,0,0,0.0,,,,,8000,8000,tail,0.04117444661084987,
optional_weights-abandon-k8,rebuilt-action-crossed-corpus,8,0.9,2110,P1,P1,12,359,abandon,abandon,True,True,False,True,False,8764,8719,45,0,,,0,0,0.0,,,,,8000,8000,tail,0.04117444661084987,The current file already implements the required optional weights logic and preserves the arithmetic mean default.
optional_weights-adapt-k8,rebuilt-action-crossed-corpus,8,0.6666666666666666,2110,P1,P1,10,232,adapt,adapt,True,True,True,True,False,8745,8592,153,0,,,0,0,0.0,,,,,8000,8000,tail,0.027001862197392923,The file was modified to add the required `weights` parameter while preserving the existing `digits` parameter and revision constant.
